pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024-01-01	AI and Blockchain Enabled Future Wireless Networks: A Survey And Outlook	Distributed Ledger Technologies: Research and Practice		Please search the paper for citation	paper-number25	
2023-01-02	A Review of Gaps between Web 4.0 and Web 3.0 Intelligent Network Infrastructure	2024 IEEE World Forum on Internet of Things		Please search the paper for citation	paper-number24	
2023-01-03	When Web 3.0 Meets Reality: A Hyperdimensional Fractal Polytope P2P Ecosystems	arXiv:2308.06829		Please search the paper for citation	paper-number23	
2023-01-04	deController: a Web3 native cyberspace infrastructure perspective	IEEE communications magazine		Please search the paper for citation	paper-number22	
2023-01-05	DecentRAN: Decentralized Radio Access Network for 5.5 G and beyond	2023 IEEE International Conference on Communications Workshop		Please search the paper for citation	paper-number21	
2023-01-06	Wireless Distributed Consensus for Connected Autonomous Systems	IEEE Internet of Things Journal		Please search the paper for citation	paper-number20	
2023-01-07	An Algorithm of Three-dimensional Shape Dissection with Mesh Reconstruction	2023 IEEE International Conference on Multimedia and Expo Workshops		Please search the paper for citation	paper-number19	
2022-01-08	DISTERNING: Distance Estimation using Machine Learning Approach for COVID-19 Contact Tracing and Beyond	IEEE JSAC issue on Edge-Based Wireless Communications Technologies to Counter Communicable Infectious Diseases		Please search the paper for citation	paper-number18	
2022-01-09	Metaverse Native Communication: A Blockchain and Spectrum Prospective	2022 IEEE International Conference on Communications Workshop - SSI-Blockchain		Please search the paper for citation	paper-number17	
2022-01-10	The Implications from Distributed Ledger Technology: A Legal and economical aspect	Handbook of Blockchain Analytics		Please search the paper for citation	paper-number16	
2022-01-11	"Recordism: A social-scientific prospect of blockchain from social, legal, financial, and technological perspectives"	arXiv preprint arXiv:2204.00823		Please search the paper for citation	paper-number15	
2022-01-12	A Privacy-Preserving Blockchain Platform for a Data Marketplace	Distributed Ledger Technologies: Research and Practice		Please search the paper for citation	paper-number14	
2022-01-13	BeSharing: A Copyright-aware Blockchain-enabled Knowledge Sharing Platform	2022 4th Conference on Blockchain Research & Applications for Innovative Networks and Services (BRAINS)		Please search the paper for citation	paper-number13	
2021-01-14	How Much Communication Resource is Needed to Run a Wireless Blockchain Network?	IEEE Network		Please search the paper for citation	paper-number12	
2021-01-15	Security Analysis of Sharding in the Blockchain System	"2021 IEEE International Symposium on Personal, Indoor and Mobile Radio Communications"		Please search the paper for citation	paper-number11	
2021-01-16	BE-RAN: Blockchain-enabled RAN with Decentralized Identity Management and Privacy-Preserving Communication	arXiv preprint arXiv:2101.10856		Please search the paper for citation	paper-number10	
2021-01-17	6G Resource Management and Sharing: Blockchain and O-RAN	Blockchains: Empowering Technologies and Industrial Applications		Please search the paper for citation	paper-number9	
2021-01-18	Blockchain-enabled  COVID-19 Contact Tracing Solutions	"Wireless Blockchain: Principles, Technologies and Applications"		Please search the paper for citation	paper-number8	
2021-01-19	BeepTrace for COVID-19 Pandemic: A Demo	3rd Conference on Blockchain Research & Applications for Innovative Networks and Services (BRAINS)		Please search the paper for citation	paper-number7	
2020-01-20	Low reliable and low latency communications for mission critical distributed industrial internet of things	IEEE Communications Letters		Please search the paper for citation	paper-number6	
2020-01-21	BeepTrace: Blockchain-enabled Privacy-preserving Contact Tracing for COVID-19 Pandemic and Beyond	IEEE Internet of Things Journal		Please search the paper for citation	paper-number5	
2020-01-22	RAFT based wireless blockchain networks in the presence of malicious jamming	IEEE wireless communications letters		Please search the paper for citation	paper-number4	
2020-01-23	Blockchain-enabled Resource Management and Sharing for 6G Communications	Digital Communications and Networks		Please search the paper for citation	paper-number3	
2020-01-24	A Scalable Multi-layer PBFT Consensus for Blockchain	IEEE Transactions on Parallel and Distributed Systems		Please search the paper for citation	paper-number2	
2020-01-25	Privacy-preserving contact tracing and public risk assessment using blockchain for COVID-19 pandemic	IEEE Internet of Things Magazine		Please search the paper for citation	paper-number1	
